Month,Ozone
10/7/2015,18
10/10/2015,12
10/14/2015,15
10/17/2015,48
10/21/2015,30
10/24/2015,20
10/28/2015,4
10/31/2015,9
11/4/2015,2
11/7/2015,7
11/11/2015,4
11/14/2015,14
11/18/2015,17
11/21/2015,37
11/25/2015,16
11/28/2015,2
12/2/2015,14
12/5/2015,13
12/9/2015,7
12/12/2015,2
12/16/2015,9
12/19/2015,28
12/23/2015,16
12/26/2015,27
12/30/2015,12
1/2/2016,5
1/6/2016,2
1/9/2016,16
1/13/2016,4
1/16/2016,3
1/20/2016,5
1/23/2016,22
1/27/2016,3
1/30/2016,5
2/3/2016,26
2/6/2016,4
2/10/2016,2
2/13/2016,7
2/17/2016,7
2/20/2016,11
2/24/2016,21
2/27/2016,10
3/2/2016,12
3/5/2016,3
3/9/2016,14
3/12/2016,11
3/16/2016,10
3/19/2016,11
3/23/2016,5
3/26/2016,11
3/30/2016,24
4/2/2016,9
4/6/2016,4
4/9/2016,14
4/13/2016,30
4/16/2016,3
4/20/2016,12
4/23/2016,19
4/27/2016,2
4/30/2016,3
5/4/2016,30
5/7/2016,5
5/11/2016,20
5/14/2016,13
5/18/2016,23
5/21/2016,5
5/25/2016,11
5/28/2016,6
6/1/2016,23
6/4/2016,16
6/8/2016,12
6/11/2016,20
6/15/2016,4
6/18/2016,2
6/22/2016,14
6/25/2016,3
6/29/2016,23
7/2/2016,10
7/6/2016,2
7/9/2016,10
7/13/2016,3
7/16/2016,11
7/20/2016,6
7/23/2016,5
7/27/2016,10
7/30/2016,11
8/3/2016,9
8/6/2016,20
8/10/2016,23
8/13/2016,38
8/17/2016,33
8/20/2016,3
8/24/2016,9
8/27/2016,4
8/31/2016,5
9/3/2016,7
9/7/2016,22
9/10/2016,3
9/14/2016,10
9/17/2016,9
9/21/2016,1
9/24/2016,7
9/28/2016,30
10/1/2016,2
10/5/2016,8
10/8/2016,3
10/12/2016,16
10/15/2016,23
10/19/2016,10
10/22/2016,1
10/26/2016,2
10/29/2016,19
11/2/2016,13
11/5/2016,21
11/9/2016,1
11/12/2016,8
11/16/2016,28
11/19/2016,16
11/23/2016,7
11/26/2016,17
11/30/2016,3
12/3/2016,8
12/7/2016,41
12/10/2016,12
12/14/2016,18
12/17/2016,1
12/21/2016,25
12/24/2016,28
12/28/2016,16
12/31/2016,1
1/4/2017,16
1/7/2017,3
1/11/2017,1
1/14/2017,23
1/18/2017,9
1/21/2017,23
1/25/2017,18
1/28/2017,12
2/1/2017,9
2/4/2017,6
2/8/2017,14
2/11/2017,5
2/15/2017,5
2/18/2017,3
2/22/2017,10
2/25/2017,6
3/1/2017,10
3/4/2017,2
3/8/2017,23
3/11/2017,1
3/15/2017,16
3/18/2017,13
3/22/2017,2
3/25/2017,18
3/29/2017,8
4/1/2017,9
4/5/2017,8
4/8/2017,23
4/12/2017,8
4/15/2017,5
4/19/2017,1
4/22/2017,21
4/26/2017,1
4/29/2017,22
5/3/2017,17
5/6/2017,11
5/10/2017,29
5/13/2017,17
5/17/2017,4
5/20/2017,5
5/24/2017,28
5/27/2017,5
5/31/2017,4
6/3/2017,3
6/7/2017,5
6/10/2017,20
6/14/2017,5
6/17/2017,10
6/21/2017,14
6/24/2017,10
6/28/2017,29
7/1/2017,19
7/5/2017,4
7/8/2017,8
7/12/2017,1
7/15/2017,9
7/19/2017,50
7/22/2017,5
7/26/2017,7
7/29/2017,1
8/2/2017,1
8/5/2017,11
8/9/2017,12
8/12/2017,20
8/16/2017,9
8/19/2017,17
8/23/2017,6
8/26/2017,7
8/30/2017,19
9/2/2017,6
9/6/2017,8
9/9/2017,6
9/13/2017,17
9/16/2017,17
9/20/2017,39
9/23/2017,24
9/27/2017,8
9/30/2017,8
10/4/2017,22
10/7/2017,10
10/11/2017,1
10/14/2017,32
10/18/2017,30
10/21/2017,14
10/25/2017,18
10/28/2017,27
11/1/2017,3
11/4/2017,12
11/8/2017,12
11/11/2017,4
11/15/2017,23
11/18/2017,17
11/22/2017,35
11/25/2017,8
11/29/2017,24
12/2/2017,28
12/6/2017,19
12/9/2017,25
12/13/2017,2
12/16/2017,9
12/20/2017,1
12/23/2017,1
12/27/2017,3
12/30/2017,28
1/3/2018,2
1/6/2018,12
1/10/2018,7
1/13/2018,14
1/17/2018,3
1/20/2018,26
1/24/2018,5
1/27/2018,17
1/31/2018,4
2/3/2018,15
2/7/2018,23
2/10/2018,1
2/14/2018,37
2/17/2018,13
2/21/2018,7
2/24/2018,24
2/28/2018,12
3/3/2018,13
3/7/2018,6
3/10/2018,43
3/14/2018,6
3/17/2018,22
3/21/2018,3
3/24/2018,10
3/28/2018,6
3/31/2018,8
4/4/2018,8
4/7/2018,2
4/11/2018,16
4/14/2018,17
4/18/2018,9
4/21/2018,40
4/25/2018,17
4/28/2018,20
5/2/2018,5
5/5/2018,14
5/9/2018,11
5/12/2018,22
5/16/2018,17
5/19/2018,3
5/23/2018,20
5/26/2018,1
5/30/2018,17
6/2/2018,23
6/6/2018,23
6/9/2018,6
6/13/2018,13
6/16/2018,9
6/20/2018,4
6/23/2018,16
6/27/2018,7
6/30/2018,3
7/4/2018,4
7/7/2018,1
7/11/2018,19
7/14/2018,22
7/18/2018,1
7/21/2018,9
7/25/2018,2
7/28/2018,22
8/1/2018,5
8/4/2018,3
8/8/2018,10
8/11/2018,5
8/15/2018,12
8/18/2018,24
8/22/2018,1
8/25/2018,20
8/29/2018,25
