Month,Ozone
7/27/2022,1
7/30/2022,4
8/1/2022,15
8/3/2022,9
8/6/2022,8
8/8/2022,32
8/10/2022,29
8/13/2022,19
8/15/2022,20
8/17/2022,23
8/20/2022,5
8/22/2022,12
8/24/2022,6
8/27/2022,2
8/29/2022,13
8/31/2022,7
9/3/2022,18
9/5/2022,4
9/7/2022,3
9/10/2022,38
9/12/2022,6
9/14/2022,9
9/17/2022,5
9/19/2022,7
9/21/2022,6
9/24/2022,3
9/26/2022,13
9/28/2022,6
10/1/2022,8
10/3/2022,2
10/5/2022,26
10/8/2022,13
10/10/2022,3
10/12/2022,14
10/15/2022,32
10/17/2022,19
10/19/2022,6
10/22/2022,19
10/24/2022,18
10/26/2022,19
10/29/2022,19
10/31/2022,13
