Month,Ozone
7-27-2022,44
7-30-2022,57
8-1-2022,31
8-3-2022,56
8-6-2022,46
8-8-2022,51
8-10-2022,59
8-13-2022,35
8-15-2022,47
8-17-2022,41
8-20-2022,11
8-22-2022,34
8-24-2022,35
8-27-2022,56
8-29-2022,43
8-31-2022,19
9-3-2022,49
9-5-2022,32
9-7-2022,30
9-10-2022,56
9-12-2022,16
9-14-2022,20
9-17-2022,36
9-19-2022,36
9-21-2022,34
9-24-2022,21
9-26-2022,31
9-28-2022,24
10-1-2022,22
10-3-2022,22
10-5-2022,33
10-8-2022,53
10-10-2022,11
10-12-2022,41
10-15-2022,40
10-17-2022,36
10-19-2022,15
10-22-2022,48
10-24-2022,35
10-26-2022,37
10-29-2022,40
10-31-2022,36
