Month,Ozone
7-27-2022,55
7-30-2022,58
8-1-2022,36
8-3-2022,57
8-6-2022,56
8-8-2022,57
8-10-2022,61
8-13-2022,43
8-15-2022,50
8-17-2022,50
8-20-2022,16
8-22-2022,55
8-24-2022,37
8-27-2022,60
8-29-2022,61
8-31-2022,24
9-3-2022,65
9-5-2022,55
9-7-2022,33
9-10-2022,68
9-12-2022,34
9-14-2022,22
9-17-2022,51
9-19-2022,46
9-21-2022,45
9-24-2022,24
9-26-2022,33
9-28-2022,33
10-1-2022,65
10-3-2022,55
10-5-2022,37
10-8-2022,60
10-10-2022,17
10-12-2022,42
10-15-2022,58
10-17-2022,46
10-19-2022,27
10-22-2022,55
10-24-2022,45
10-26-2022,46
10-29-2022,46
10-31-2022,39
