Month,Ozone
7-27-2022,57
7-30-2022,68
8-1-2022,65
8-3-2022,66
8-6-2022,68
8-8-2022,58
8-10-2022,68
8-13-2022,62
8-15-2022,63
8-17-2022,55
8-20-2022,66
8-22-2022,67
8-24-2022,44
8-27-2022,65
8-29-2022,69
8-31-2022,28
9-3-2022,69
9-5-2022,64
9-7-2022,36
9-10-2022,69
9-12-2022,66
9-14-2022,52
9-17-2022,61
9-19-2022,67
9-21-2022,54
9-24-2022,29
9-26-2022,59
9-28-2022,67
10-1-2022,69
10-3-2022,63
10-5-2022,62
10-8-2022,68
10-10-2022,22
10-12-2022,59
10-15-2022,62
10-17-2022,60
10-19-2022,42
10-22-2022,60
10-24-2022,54
10-26-2022,56
10-29-2022,57
10-31-2022,59
