Month,Ozone
7-27-2022,26
7-30-2022,12
8-1-2022,16
8-3-2022,11
8-6-2022,3
8-8-2022,12
8-10-2022,19
8-13-2022,2
8-15-2022,5
8-17-2022,24
8-20-2022,7
8-22-2022,9
8-24-2022,22
8-27-2022,14
8-29-2022,18
8-31-2022,1
9-3-2022,9
9-5-2022,25
9-7-2022,20
9-10-2022,4
9-12-2022,25
9-14-2022,25
9-17-2022,1
9-19-2022,7
9-21-2022,7
9-24-2022,14
9-26-2022,20
9-28-2022,11
10-1-2022,26
10-3-2022,22
10-5-2022,6
10-8-2022,5
10-10-2022,11
10-12-2022,6
10-15-2022,15
10-17-2022,25
10-19-2022,10
10-22-2022,18
10-24-2022,16
10-26-2022,24
10-29-2022,23
10-31-2022,13
